ShortName;ISIN;ValorSymbol;ValorNumber;TradingBaseCurrency;GeographicalAreaCode;Reuters;Company Description
ABB LTD N;CH0012221716;ABBN;1222171;CHF;CH;ABBN.S;ABB Limited provides power and automation technologies. The Company operates under segments that include power products, power systems, automation products, process automation, and robotics. ABB delivers efficiency. Its offerings span a range of technology products that can optimize and automate industrial systems and process. The company sells products such as electric charging stations, robotics, and controls in several markets including utilities, industrial, and transportation and infrastructure industries. Its new ABB Ability digital solutions are being used by key customers like Shell Oil, CenterPoint Energy, BASF, Volvo and BMW, to name a few. Operating for more than 130 years, ABB has facilities in about 100 countries worldwide, with its core businesses concentrated in power and automation markets.  
ADECCO N;CH0012138605;ADEN;1213860;CHF;CH;ADEN.S;Adecco Group AG is a personnel and temporary employment company. The Company supplies personnel and temporary help, and offers permanent placement services for professionals and specialists in a range of occupations. Adecco Group conducts its placement services internationally.
ALCON N;CH0432492467;ALC;43249246;CHF;CH;ALCC.S;Alcon Inc. manufactures eye care products. The Company produces and markets vitreoretinal and cataract surgery, contact lenses, and refractive technology products. Alcon serves medical industry worldwide.
CS GROUP N;CH0012138530;CSGN;1213853;CHF;CH;CSGN.S;Credit Suisse Group AG is an international financial services group. The group provides investment management, private banking, and asset management services to clients worldwide. Its investment banking offerings include debt and equity underwriting, M&A advisory, and other securities services. The group also provides wealth management services and asset management services to individual, institutional, and government clients. With around 280 retail branches in Switzerland, it operates in about 50 countries (including the US and UK).  
GEBERIT N;CH0030170408;GEBN;3017040;CHF;CH;GEBN.S;Geberit AG manufactures and supplies water supply pipes and fittings, installation, and drainage and flushing systems such as visible cisterns other sanitary systems for the commercial and residential construction markets. The Company sells its products in Germany, Italy, Switzerland, Austria, the Netherlands, France, and Belgium. 
GIVAUDAN N;CH0010645932;GIVN;1064593;CHF;CH;GIVN.S;Givaudan SA manufactures and markets fragrances and flavors from natural and synthetic ingredients. The Swiss company takes inspiration from fruits and plants from around the globe, synthesizing them into flavors and fragrances. Givaudan's customers use these flavors in their products, which include cosmetics, perfume, beverages, dairy and savory and sweet foods. The company is the largest flavor-maker in the world, and was founded in 1895.
LAFARGEHOLCIM N;CH0012214059;LHN;1221405;CHF;CH;LHN.S;LafargeHolcim Ltd provides building materials. The Company produces and markets ready-mixed concrete, cement, clinker, and ad-mixtures, as well as provides consulting and engineering services in all areas of the cement manufacturing process. LafargeHolcim operates cement manufacturing facilities worldwide
LONZA N;CH0013841017;LONN;1384101;CHF;CH;LONN.S;Lonza Group AG produces organic fine chemicals, biocides, active ingredients, and biotechnology products.  The Company offers custom chemical manufacturing and fermentation processing and manufactures its products for the life sciences, pharmaceuticals, food processing, and agricultural products industries.  Lonza operates production sites in Europe, the United States, and China.
NESTLE N;CH0038863350;NESN;3886335;CHF;CH;NESN.S;Nestle S.A. is a multinational packaged food company, that manufactures and markets a wide range of food products. Active in almost every country, the world's #1 food and drinks company produces more than 2,000 brands including the world's leading coffee brand Nescafé, Haagen-Dazs ice cream, Purina pet food, DiGiorno pizza, Kit-Kat chocolates, and Perrier bottled water. Its brands, produced at more than 400 factories globally, include global, regional, and local favorites. The US is Nestlé's biggest market. It is also L'Oréal's second largest shareholder with a 23% stake in the leading beauty company. Nestlé was founded by Henri Nestlé in Switzerland in 1843. 
NOVARTIS N;CH0012005267;NOVN;1200526;CHF;CH;NOVN.S;"Novartis AG manufactures pharmaceutical and consumer healthcare products. The Company produces pharmaceuticals for cardiovascular, respiratory and infectious diseases, oncology, neuroscience, transplantation, dermatology, gastrointestinal and urinary conditions, arthritis, vaccines and diagnostics, vision, and animal health products. The company's Innovative Medicines segment develops and manufactures prescription drugs for blood pressure, cancer, and other ailments. Its Sandoz segment is among the largest manufacturers of generic drugs in the world; it also makes APIs. Novartis has divested its vaccines and consumer health (Excedrin, Theraflu, and other products) divisions."
RICHEMONT N;CH0210483332;CFR;21048333;CHF;CH;CFR.S;Compagnie Financiere Richemont SA, through subsidiaries, manufactures and retails luxury goods. The Company produces jewelry, watches, leather goods, writing instruments, and men's and women's wear. It markets Cartier jewelry, Piaget and Baume & Mercier watches, Alfred Dunhill leather goods, Montblanc pens, and Chloé haute coture. Richemont, the world's second-largest luxury goods firm behind French rival LVMH Moët Hennessy Louis Vuitton, also owns jeweler Van Cleef & Arpels. Customers can get their hands on Richemont's finery at its 1,120 boutiques scattered across five continents, as well as online. 
ROCHE GS;CH0012032048;ROG;1203204;CHF;CH;ROG.S;One of the world's largest pharmaceutical companies, Roche operates two segments -- pharmaceuticals and diagnostics, selling its products in some 190 countries. Roche's prescription drugs include cancer therapies MabThera/Rituxan and Avastin, Perjeta and Kadcyla for HER2-positive breast cancer, hepatitis drug Pegasys, idiopathic pulmonary fibrosis drug Esbriet, macular degeneration therapy Lucentis, and Tamiflu, which is used to prevent and treat influenza (including pandemic strains). The company markets many of its bestsellers through California-based subsidiary Genentech and Japanese affiliate Chugai Pharmaceutical. Roche's diagnostics arm offers clinical lab supplies, genetic tests, diabetes monitoring supplies, and point-of-care diagnostics for health care providers. Roche records among the world's highest pharmaceutical R&D spend annually. 
SGS N;CH0002497458;SGSN;249745;CHF;CH;SGSN.S;SGS SA provides industrial inspection, analysis, testing, and verification services. The Company inspects, samples, analyzes, and monitors raw materials, petroleum, food, crops, chemicals, consumer goods, and production machinery for compliance with industrial standards and local regulatory requirements, including tax and duty. SGS serves business worldwide.
